from,to,weight,bidirectional,waypoints
NORTH_GATE,C1,20,1,
NORTH_GATE,HT,50,1,
WEST_GATE,C9,80,1,
WEST_GATE,D2,70,1,"220,365"
WEST_GATE,PC,100,1,
C1,C2,45,1,"275,120"
C1,HT,50,1,"337,88"
C1,ITIMS,100,1,"370,110;370,315"
HT,C3,30,1,"515,110"
HT,CFC,40,1,"535,120"
C2,C9,40,1,"275,270"
C3,C4,30,1,"535,160;535,213"
C3,CFC,20,1,
C3,C6,40,1,
C4,C5,30,1,"535,213;535,267"
C4,C6,20,1,
C4,C7,35,1
C5,C7,20,1,"550,267"
C5,C10,25,1,"515,305"
C5,C8,35,1,"535,267;535,305"
C6,C7,25,1,
C6,CFC,25,1,
C7,C8,30,1,
C8,D3,30,1,"550,363"
C9,PC,55,1,
C9,D2,70,1,
C10,ITIMS,30,1,
C10,C8,30,1,
C10,TQB_LIBRARY,55,1,
D1,TQB_LIBRARY,35,1,
D1,ITIMS,25,1,
D1,VDZ,20,1,
TQB_LIBRARY,TIEN_LAKE,50,1,"415,365"
TQB_LIBRARY,D3,50,1,
TQB_LIBRARY,D5,50,1,
TIEN_LAKE,D1,60,1,"415,365"
TIEN_LAKE,D9,25,1,
D2,D4,20,1,
D2,PC,40,1,
D3,B8_GATE,60,1,
D4,D6,35,1,
D4,D8,45,1,
D5,D3,30,1,
D6,D8,20,1,
D6,VDZ,40,1,"325,365"
D6,PC,45,1,"325,365"
D7_ITP,D5,25,1,
D9,D7_ITP,45,1,
B8_GATE,B1,90,1,"800,352"
B8_GATE,B8,50,1,"755,352"
B5,B9,30,1,
B6,B5,20,1,
B7,B6,30,1,
B7,B9,20,1,
B7BIS,B7,25,1,
B8,B7BIS,30,1,
B8,B1,50,1,
VDZ,PC,20,1,
D6,D68,5,1,
D8,D68,5,1,
D4,D68,15,1,"220,485"
